"ONCOTREE_CODE"	"organ"	"organ_order"	"CTD_ABBR"	"organ_color"	"Disease"
"52"	"MPNST"	"Brain"	1	"Nerve Sheath"	"#C62D28"	"Malignant Peripheral Nerve Sheath Tumor"
"54"	"NBL"	"Brain"	1	"Neuroblastoma"	"#C62D28"	"Neuroblastoma"
"57"	"OCSC"	"Head and Neck"	3	"Oral Cavity"	"#049347"	"Oral Cavity Squamous Cell Carcinoma"
"58"	"ODG"	"Brain"	1	"Oligodendro."	"#C62D28"	"Oligodendroglioma"
"59"	"OPHSC"	"Head and Neck"	3	"Oropharynx"	"#049347"	"Oropharynx Squamous Cell Carcinoma"
"60"	"OS"	"Soft Tissue"	12	"Osteosarcoma"	"#00a89b"	"Osteosarcoma"
"61"	"PAAD"	"Developmental GI Tract"	8	"Pancreatic Adeno."	"#355A91"	"Pancreatic Adenocarcinoma"
"62"	"PANET"	"Developmental GI Tract"	8	"Pancreatic Neuro."	"#355A91"	"Pancreatic Neuroendocrine Tumor"
"63"	"PEMESO"	"Thoracic"	5	"Peritoneal Meso."	"#B368D9"	"Peritoneal Mesothelioma"
"64"	"PLEMESO"	"Thoracic"	5	"Pleural Meso."	"#B368D9"	"Pleural Mesothelioma, Epithelioid Type"
"65"	"PRAD"	"Genitourinary"	9	"Prostate Adeno."	"#f17d81"	"Prostate Adenocarcinoma"
"66"	"PRCC"	"Genitourinary"	9	"Papillary Renal Cell"	"#f17d81"	"Papillary Renal Cell Carcinoma"
"68"	"RBL"	"Eye"	2	"Retinoblastoma"	"#7797BF"	"Retinoblastoma"
"69"	"READ"	"Core GI"	7	"Rectal"	"#007EB5"	"Rectal Adenocarcinoma"
"70"	"SBC"	"Core GI"	7	"Small Bowel"	"#007EB5"	"Small Bowel Cancer"
"71"	"SBWDNET"	"Core GI"	7	"Small Bowel Well-Diff Neuro."	"#007EB5"	"Small Bowel Well-Differentiated Neuroendocrine Tumor"
"72"	"SCLC"	"Thoracic"	5	"Small Cell"	"#B368D9"	"Small Cell Lung Cancer"
"74"	"SEM"	"Genitourinary"	9	"Seminoma"	"#f17d81"	"Seminoma"
"76"	"SKCM"	"Skin"	11	"Cutaneous"	"#4EBE03"	"Cutaneous Melanoma"
"77"	"SPDAC"	"Core GI"	7	"Poorly Diff. Carc. of Stomach"	"#007EB5"	"Poorly Differentiated Carcinoma of the Stomach"
"78"	"STAD"	"Core GI"	7	"Stomach"	"#007EB5"	"Stomach Adenocarcinoma"
"79"	"SYNS"	"Soft Tissue"	12	"Synovial"	"#00a89b"	"Synovial Sarcoma"
"80"	"THAP"	"Endocrine"	4	"Anaplastic"	"#e4e07a"	"Anaplastic Thyroid Cancer"
"81"	"THME"	"Endocrine"	4	"Medullary Thyroid"	"#e4e07a"	"Medullary Thyroid Cancer"
"82"	"THPA"	"Endocrine"	4	"Papillary Thyroid"	"#e4e07a"	"Papillary Thyroid Cancer"
"83"	"THPD"	"Endocrine"	4	"Poorly Diff. Thyroid"	"#e4e07a"	"Poorly Differentiated Thyroid Cancer"
"85"	"UCS"	"Gynecologic"	10	"Uterine Mixed Mullerian"	"#f8b74a"	"Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor"
"86"	"UEC"	"Gynecologic"	10	"Uterine Endometroid"	"#f8b74a"	"Uterine Endometrioid Carcinoma"
"87"	"ULMS"	"Gynecologic"	10	"Uterline Leiomyo."	"#f8b74a"	"Uterine Leiomyosarcoma"
"88"	"UM"	"Skin"	11	"Uveal"	"#4EBE03"	"Uveal Melanoma"
"89"	"UMEC"	"Gynecologic"	10	"Uterine Mixed"	"#f8b74a"	"Uterine Mixed Endometrial Carcinoma"
"90"	"URCC"	"Genitourinary"	9	"Unclassified Renal"	"#f17d81"	"Unclassified Renal Cell Carcinoma"
"91"	"USC"	"Gynecologic"	10	"Uterine Serious"	"#f8b74a"	"Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma"
"92"	"UTUC"	"Genitourinary"	9	"Upper Tract Urothelial"	"#f17d81"	"Upper Tract Urothelial Carcinoma"
